Type,Addr,Register Description
F32,385,Input Voltage  (Volts)
F32,387,Drive P coefficient
F32,387,Actual Drive P coefficient
F32,389,Drive I coefficient
F32,389,Actual Drive I coefficient
U16,391,"MDAC Gain Override  (D/A Counts, put @ 0xFFFF to disable)"
U16,392,"PGA Gain Override (put @ 0xFFFF to disable, 30h=0db)"
F32,393,"Actual Target Frequency  (Hz) (Pre 700 2.1, Actual & Override) "
F32,395,"Actual Target Amplitude  (mV/Hz) (Pre 700 2.1, Actual & Override) "
F32,397,Reciprocal of Actual Codec Gain (Gen5: Xmtr Board Temp)
U16,399,Sensor Failure Timeout Time (1/16 Sec Units)
U16,400,Sensor Failure Status Bits
F32,401,Drive Current (mA)
F32,403,Override Target Freq (Hz) (set to 0 to disable)
F32,405,Override Target Amplitude (mV/Hz) (set to 0 to disable)
F32,407,Altus-Compatibility Flow calibration factor (FCF)
F32,409,Altus-Compatibility Temperature coefficient for flow  (FT)
F32,411,Altus-Compatibility Tempcal Slope (Read Only for CDM)
F32,413,Altus-Compatibility Tempcal Offset
F32,415,Altus-Compatibility Viscal Slope
F32,417,Altus-Compatibility Viscal Intercept
U16,419,"Bit #0 – Core EEPROM Checksum Error (Config, Powerdown, Program)"
U16,420,Bit #0 – Primary mA Output Saturated (A100)
U16,421,Bit #0 – Burst Mode Enabled (A106) (AI Simulate enabled on 2700 PA v2.2)
U16,422,Bit #0 – API.VCF:  Temperature Outside Standard Range (A116)
U16,423,Bit #0 – Core Protected Boot Sector Fault (invalid/corrupt application) (A25)
U16,424,"Bit #0 – Discrete Input 1 Status (0=OFF, 1=ON)"
A16,425,Sensor Type
U16,433,Bit #0 – K1/FCF Combination Unrecognized
U16,434,Bit #0 – Attached core data loss possible
F32,435,Sensor Maximum Recorded Temperature
F32,437,Sensor Minimum Recorded Temperature
F32,439,Sensor Average Recorded Temperature
F32,441,"Electronics Flow Offset Compensation for Mass Flow  (uSec, nom 0)"
F32,443,Electronics Maximum Recorded Temperature (non-resetable)
F32,445,Electronics Minimum Recorded Temperature (non-resetable)
F32,447,Electronics Average Recorded Temperature (non-resetable)
F32,449,External Temperature Input
F32,451,External Pressure Input
F32,453,External Differential Pressure Input
F32,453,Gas Density used to calculate Reference Volume Gas Flow & Totals
F32,455,Reference Volume Gas Flow Rate (not valid when API or ED is enabled)
F32,457,Reference Volume Gas Total (not valid when API or ED is enabled)
F32,459,Reference Volume Gas Inventory (not valid when API or ED is enabled)
F32,461,Gas Standard Volume Low Flow Cutoff
F32,463,Electronics Maximum Recorded Temperature (Resetable)
F32,465,Electronics Minimum Recorded Temperature (Resetable)
F32,467,Electronics Average Recorded Temperature (Resetable)
F32,469,Wire (cable) RTD Resistance (ohms)
F32,471,On-Board Thermistor Resistance (ohms)
F32,473,Case/Meter RTD Resistance (ohms)
F32,475,Line RTD Resistance (ohms)
U32,477,Raw A/D Chan 1 (FET off) 
U32,479,Raw A/D Chan 2 (FET off) 
U32,481,Raw A/D Chan 3 (FET off)
U32,483,Raw A/D Chan 4 (FET off)
U32,485,Raw A/D Chan 5 (FET off)
U32,487,Raw A/D Chan 1 (FET on)
U32,489,Raw A/D Chan 2 (FET on)
U32,491,Raw A/D Chan 3 (FET on)
U32,493,Raw A/D Chan 4 (FET on)
U32,495,Raw A/D Chan 5 (FET on)
U16,497,Core Power Cycle Count (Set to 0 on master reset) 
U16,498,Core EEPROM Configuration “A” Copy Bad on power-up (Count) (Set to 0 on master reset)
U16,499,Core EEPROM Power-Down “A” Copy Bad on power-up (Count) (Set to 0 on master reset)
U16,500,Core Power On Time (Set to 0 on master reset)  (units of 2 hours)
U16,501,Core Count of ungraceful powerdowns (without going through PDI)
U16,502,Transmitter Power Cycle Count
F32,503,T-Series: K3
F32,505,T-Series: Flow tgco (FTG)
F32,507,T-Series: Flow fqco (FFQ)
F32,509,T-Series: D3
F32,511,T-Series: D4
F32,513,T-Series: Dens tgco  (DTG)
F32,515,T-Series: Dens fqco1 (DFQ1)
F32,517,T-Series: Dens fqco2 (DFQ2)
F32,519,T-Series: K4
U16,521,(Enumerated) Floating Point Byte Ordering Type for Modbus “F” Registers
U16,522,"Additional Delay to Modbus Response (0-255).  Units: 200uS for 38,400 baud; 400uS/19.2; 800uS/9600; 1.6mS/4800; 3.2mS/2400; 6.4mS/1200"
U16,523,"Active Calculation Curve (a=0,1,2,3,4,5) For SGM not applicable when calibrated for SG or MW for version 2.0 and greater."
U16,524,Requested Enhanced Density Mode (See codes table in back)
U16,527,"Curve Configuration Index ( n =0,1,2,3,4,5)"
U16,528,"Curven Temperature Isotherm Index ( x =0,1,2,3,4,5)"
U16,529,"Curven Concentration Index ( y =0,1,2,3,4,5)"
F32,531,Curven (5x5) Temperature Isothermx Value (x-axis)
F32,533,"Curven (5x5) Density @ Temp. IsothermX, ConcentrationY"
F32,535,"Curven (5x5) Coeff @ Temperature IsothermX, ConcentrationY"
F32,537,Curven (5x5) ConcentrationY  Value (Label for y-axis)
F32,539,Curven (5x1) Density at ConcentrationY (at Ref Temp)
F32,541,Curven (5x1) Coeff at ConcentrationY (at Ref Temp)
F32,543,Curven (5x1) ConcentrationY  Value (y-axis)
F32,545,Curven Reference Temperature
F32,547,Curven SG Water Reference Temperature
F32,549,Curven SG Water Reference Density
F32,551,Curven Slope Trim
F32,553,Curven Offset Trim
F32,555,Curven Extrapolation Alarm Limit:  %
A12,557,Curven Name of Curve
U16,563,"Curven Using Coeffs Direct (1=Yes, 0=No) "
U16,564,"Maximum Fit Order for 5x5 curve (order=2,3,4,5)"
U16,569,"Curven Curve Fit Result (0=Good, 1=Poor, 2=Failed, 3=Empty)"
U16,570,Curven Concentration Units Code
F32,571,Curven Curve Fit Expected Accuracy
A8,573,Curven Concentration Units
F32,577,IS400 Density Threshold
F32,579,IS400 Gas Drive Target (mV/Hz)
F32,581,IS400 Liq Drive Target (mV/Hz)
F32,583,IS400 Gas Fixed PGA  (% of ADC input)
F32,585,IS400 Liq Fixed PGA  (% of ADC input)
F32,587,IS400 Gas Min Drive Current ( Units of 72 uA)
F32,589,IS400 Liq Min Drive Current ( Units of 72 uA)
F32,591,Pre-Demodulation Frequency
F32,579,“New” Log of  K1  (Indexed to 577)
F32,581,“New” Log of FCF  (Indexed to 577)
A8,583,“New” Sensor Type Text ASCII
U16,587,“New” Sensor Slot Number (Indexed to 577)
U16,588,“New” Sensor Category (Indexed to 577)
U16,591,Slot Override ( 0xFFFF = No Override )
U16,592,NV Category Type Index
U32,593,
F32,595,The first registers (593/4) holds a series of flags which
F32,597,"Some flags have associated data, and the presence of "
F32,599,follows in registers (595-606).
F32,601,
F32,603,
F32,605,
F32,607,Pre-Demodulation Frequency
U16,609,"Discrete Event Index  ( x = 0, 1, 2, 3, 4 )"
U16,610,Discrete Event x Action [2D Array in Neptune]
F32,611,Discrete Event x Set-point A [2D Array in Neptune]
F32,613,Discrete Event x Set-point B [2D Array in Neptune]
U16,615,Discrete Event x Process Variable Code [2D Array in Neptune]
U16,616,"Bit 0 = Discrete Event 1 Status (1=on, 0=off) [Array in Neptune]"
F32,617,MVD TBR Threshold (units of %)   Gen5 - Writes APM DGT Override
U16,619,MVD TBR Timeout (seconds)  Gen5 - TMR Pre-Event Time (sec)
U16,620,MVD TBR LMV Sample Pos. (# of samples)   Gen5 - TMR Post Event Time (sec)
U16,621,Value of Error/Status (equivalent to register 433) 
U16,622,Value of Error/Status (equivalent to register 434)
U16,625,Meter Fingerprint in SI (0) or English (1) units
U16,626,Meter Fingerprint Transmitter Variable Index
U16,627,Fingerprint Type
F32,629,"Transmitter Variable, Instantaneous"
F32,631,"Transmitter Variable, Average (1-min rolling)"
F32,633,"Transmitter Variable, Std Dev (1-min rolling)"
F32,635,"Transmitter Variable, Maximum"
F32,637,"Transmitter Variable, Minimum"
F32,639,Value of Fixed Mass Flow (g/s)
F32,641,Value of Fixed Density (g/cc)
F32,643,Value of Fixed Line Temperature (deg C)
F32,645,Value of Fixed Meter Temperature (deg C)
U16,647,Value of Error/Status (equivalent to register 419)
U16,648,Value of Error/Status (equivalent to register 420)
U16,649,Value of Error/Status (equivalent to register 421)
U16,650,Value of Error/Status (equivalent to register 422)
U16,651,Value of Error/Status (equivalent to register 423)
U16,652,Value of Error/Status (equivalent to register 424)
F32,653,Value of Fixed Drive Gain (percent)
U16,655,Slot 0 Configuration Index
U16,656,Slot 1 Configuration Index
U16,657,Slot 2 Configuration Index
U16,658,Slot 3 Configuration Index
U16,659,Slot 4 Configuration Index
U16,660,Slot 5 Configuration Index
U16,661,Slot 6 Configuration Index
U16,662,Slot 7 Configuration Index
U16,663,Slot 8 Configuration Index
U16,664,Slot 9 Configuration Index
U16,665,Slot 10 Configuration Index
U16,666,Slot 11 Configuration Index
U16,667,Slot 12 Configuration Index
U16,668,Slot 13 Configuration Index
U16,669,Slot 14 Configuration Index
U16,670,Slot 15 Configuration Index
U16,671,Slot 16 Configuration Index
U16,672,Slot 17 Configuration Index
U16,673,Slot 18 Configuration Index
U16,674,Slot 19 Configuration Index
U16,675,Slot 20 Configuration Index
U16,676,Slot 21 Configuration Index
U16,677,Slot 22 Configuration Index
U16,678,Slot 23 Configuration Index
U16,679,Slot 24 Configuration Index
U16,680,Slot 25 Configuration Index
U16,681,Slot 26 Configuration Index
U16,682,Slot 27 Configuration Index
U16,683,Slot 28 Configuration Index
U16,684,Slot 29 Configuration Index
U16,685,Slot 30 Configuration Index
U16,686,Slot 31 Configuration Index
U16,751,Slot 0 Transmitter Variable Index
U16,752,Slot 1 Transmitter Variable Index
U16,753,Slot 2 Transmitter Variable Index
U16,754,Slot 3 Transmitter Variable Index
U16,755,Slot 4 Transmitter Variable Index
U16,756,Slot 5 Transmitter Variable Index
U16,757,Slot 6 Transmitter Variable Index
U16,758,Slot 7 Transmitter Variable Index
U16,759,Slot 8 Transmitter Variable Index
U16,760,Slot 9 Transmitter Variable Index
U16,761,Slot 10 Transmitter Variable Index
U16,762,Slot 11 Transmitter Variable Index
U16,763,Slot 12 Transmitter Variable Index
U16,764,Slot 13 Transmitter Variable Index
U16,765,Slot 14 Transmitter Variable Index
U16,766,Slot 15 Transmitter Variable Index
U16,767,Slot 16 Transmitter Variable Index
U16,768,Slot 17 Transmitter Variable Index
U16,769,Slot 18 Transmitter Variable Index
U16,770,Slot 19 Transmitter Variable Index
U16,771,Slot 20 Transmitter Variable Index
U16,772,Slot 21 Transmitter Variable Index
U16,773,Slot 22 Transmitter Variable Index
U16,774,Slot 23 Transmitter Variable Index
U16,775,Slot 24 Transmitter Variable Index
U16,776,Slot 25 Transmitter Variable Index
U16,777,Slot 26 Transmitter Variable Index
U16,778,Slot 27 Transmitter Variable Index
U16,779,Slot 28 Transmitter Variable Index
U16,780,Slot 29 Transmitter Variable Index
U16,781,Slot 30 Transmitter Variable Index
U16,782,Slot 31 Transmitter Variable Index
U16,847,Direct Memory Access Index
U16,912,TV# (defines following parameters)
F32,913,[TV #] Upper Sensor Limit
F32,915,[TV #] Lower Sensor Limit
F32,917,[TV #] Minimum Span
U16,919,[TV #] Assignability
U16,923,[TV #] Unit Code
U16,912,Sensor Category Type Code
F32,913,Drive “P” Value
F32,915,Drive “I” Value
F32,917,Nominal Tube Drive Target (mV/Hz)
F32,919,Fixed PGA Level (% of ADC input)
F32,921,Min Drive Level (Units of 72 uA)
F32,923,Drive Threshold Level (Units of mA)
F32,925,Denscal Flow Rate Limit (Units of uS)
F32,927,Gas Density Flow Compensation Factor (Multiplier)
U16,929,"K1/FCF Resolver Likelyhood (%, >80% is “good”)"
U16,912,Sensor Category Type Code(Obsolete)
F32,913,Drive “P” Value
F32,915,Drive “I” Value
F32,917,Nominal Tube Drive Target (mV/Hz)
F32,919,Unused
F32,921,Special A33 Threshold Level
F32,923,Drive Overshoot Value
F32,925,Denscal Flow Rate Limit (Units of uS)
F32,927,Gas Density Flow Compensation Factor (Multiplier)
U16,929,"K1/FCF Resolver Likelyhood (%, >80% is “good”)"
U16,930,TV Index #
U16,947,Modbus Map Address ( per this document less 1 )
U16,948,[MMA] MMA Rule Set
U16,949,[MMA] Info –
F32,963,Enhanced Density: Density At Reference
F32,965,Enhanced Density: Density (Fixed SG Units)
F32,967,Enhanced Density: Standard Volume Flow Rate
F32,969,Enhanced Density: Standard Volume Total
F32,971,Enhanced Density: Standard Volume Inventory
F32,973,Enhanced Density: Net Mass Flow Rate
F32,975,Enhanced Density: Net Mass Total
F32,977,Enhanced Density: Net Mass Inventory
F32,979,Enhanced Density: Net Volume Flow Rate
F32,981,Enhanced Density: Net Volume Total
F32,983,Enhanced Density: Net Volume Inventory
F32,985,Enhanced Density: Concentration
F32,987,Enhanced Density: Density (Fixed Baume Units)
U32,989,TBR Active Time (Seconds)   Gen5:  TMR Active Time (Seconds)
F32,991,Current pressure comp effect (%) on flow
F32,993,Current pressure comp effect (g/cc) on dens
F32,995,Adaptive Smoothing Filter Integral Coef
F32,997,Adaptive Smoothing Filter Const
U16,999,Adaptive Smoothing Filter Damp
U16,1000,"Adaptive Smoothing Enable [0 = off, 2 = On]"
F32,1001,Actual Minimum Amplitude
F32,1003,Override Minimum Amplitude (0 = No Override)
F32,1005,Actual Peak Detect Count
F32,1007,Override Peak Detect Count (0 = No Override)
F32,1009,Actual Overshoot Limit
F32,1013,Actual Drive Phase Adjustment
F32,1017,Actual Drive Phase Offset
F32,1021,Actual Low Frequency Sweep
F32,1023,Override Low Frequency Sweep (0 = No Override)
F32,1025,Actual High Frequency Sweep
F32,1027,Override High Frequency Sweep (0 = No Override)
F32,1029,Override output current in mA (only if Drive Override (R1033) = 1)
U16,1031,"Actual Amplitude Mode (0=Peak Detect, 1=Magnitude)"
U16,1033,"Drive Override (0=Closed loop mode, 1 or greater=Open loop mode)"
U16,1034,"Drive Type (Only if Drive Override > 1: 0=Square, 1=Sine, 2=Fixed Current) Note: Fixed Current not valid for Orion."
F32,1035,Actual Magnitude Filter Coefficient
F32,1037,Override Magnitude Filter Coefficient (0 = No Override)
F32,1039,Actual Drive Current Filter Coefficient
F32,1041,Peak Magnitude Difference
F32,1043,Override Drive P Coefficient (0 = No Override)
F32,1045,Override Drive I Coefficient (0 = No Override)
U16,1047,Drive Status
F32,1049,Drive current calibration constant
U16,1051,Wire Diagnostic Status
U16,1052,Wire Diagnostic State
F32,1053,2200S Shunt Reg Current (mA)
U32,1055,Core processor final assembly number
F32,1057,SNS_DD_MaxCurrentAllowed
U16,1060,"DSP Mode:                             [For Gen5 w/700, only ""3"" is allowed]"
F32,1061,Chain Frequency Filter
F32,1063,Chain Phase Filter
F32,1065,Magnitude Scale Factor
F32,1067,Slew Rate Control
U16,1069,DZDT Mode 
U16,1069,Force Reset
U16,1070,"DZDT Reset (0=Do nothing, 1=capture DZDT Delta T and load into starting point)"
F32,1071,DZDT Delta T
F32,1071,Frequency Span Diagnositic
F32,1073,DZDT Delta T Starting Point (Initialized on Reset)
F32,1075,DZDT Delta Compensation
F32,1077,Delta T with DZDT Compensation (for ref only)
F32,1079,DZDT Average
F32,1079,Drive Phase
F32,1081,DZDT Standard Deviation
U16,1083,DZDT Status
U16,1083,Fork State
U16,1084,"DAQ Start (0=No Daq, 1 = Capture LPO and RPO data, 2 = LPO data, 3=Rpo Data)"
U16,1085,DAQ Index ( range from 0 – 8188)
U16,1086,LPO Data at address Index
U16,1087,LPO Data at address Index + 1
U16,1088,LPO Data at address Index + 2
U16,1089,LPO Data at address Index + 3
U16,1090,RPO Data at address Index
U16,1091,RPO Data at address Index + 1
U16,1092,RPO Data at address Index + 2
U16,1093,RPO Data at address Index + 3
U16,1094,DAQ Mode Selection [Neptune only]
F32,1095,DZDT Standard Deviation
F32,1097,DZDT Standard Deviation
F32,1099,Frequency Scale Factor
F32,1101,Frequency Output Pulses per Unit
F32,1103,Frequency Output Units per Pulse
F32,1105,Frequency Output fault setting for upscale (Hz)
U16,1107,Frequency Output Fault Code (see analog output fault code table)
U16,1108,Frequency Output Scaling Method (see FO scaling methods table)
F32,1109,Primary mA Output fault setting (mA)
F32,1111,Secondary mA Output fault setting (mA)
U16,1113,Primary mA Output Fault Code (see analog output fault code table in back)
U16,1114,Secondary mA Output Fault Code (see analog output fault code table in back)
U16,1115,Password for access to offline display menus (0 to 9999)
U16,1116,Display Auto Scroll Rate (1 to 30 seconds)
U16,1117,Display Process Variable #1 (see process variable codes in back)
U16,1118,Display Process Variable #2 (see process variable codes in back)
U16,1119,Display Process Variable #3 (see process variable codes in back)
U16,1120,Display Process Variable #4 (see process variable codes in back)
U16,1121,Display Process Variable #5 (see process variable codes in back)
U16,1122,Display Process Variable #6 (see process variable codes in back)
U16,1123,Display Process Variable #7 (see process variable codes in back)
U16,1124,Display Process Variable #8 (see process variable codes in back)
U16,1125,Display Process Variable #9 (see process variable codes in back)
U16,1126,Display Process Variable #10 (see process variable codes in back)
U16,1127,Display Process Variable #11 (see process variable codes in back)
U16,1128,Display Process Variable #12 (see process variable codes in back)
U16,1129,Display Process Variable #13 (see process variable codes in back)
U16,1130,Display Process Variable #14 (see process variable codes in back)
U16,1131,Display Process Variable #15 (see process variable codes in back)
U16,1132,RS485 Digital Communications Protocol (see protocol codes in back)
U16,1133,RS485 Digital Communications Baud Rate (see baud rate codes in back)
U16,1134,RS485 Digital Communications Parity (see parity codes in back)
U16,1135,RS485 Digital Communications Stop Bits
U16,1136,"RS485/USP Switch  (0=USP, 1=485 Slave Port)"
U16,1137,Attached Core Software revision
U16,1138,Board Type (see board type codes table)
U16,1139,Sensor Type Code (see sensor type codes in back)
A8,1140,HART Polling Tag #2
U16,1144,Polling Control Code #2 (see polling control code table)
U16,1145,Polled Variable #1 Code (see process variable codes table)
U16,1146,Polled Variable #2 Code (see process variable codes table)
U16,1147,Polling Type Code (refer to polling type codes table)
U16,1148,"Totals Display Precision (number of  digits to the right of decimal point, 0-4)"
U16,1149,Frequency/Discrete Output channel assignment (see Output Type codes)This register is superceded by 1167/1168.  Do not use.
U16,1150,Coriolis and Sensor Alarm Timeout (minutes)
U16,1151,Discrete Output 1 Assignment (refer to discrete output assignment codes)
U16,1152,"Discrete Output 1 Polarity (0 = active low, 1 = active high)"
